ID,Season,Display Season,Team,Franchise,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,LO,SF,SH,GO,GIDP,GITP,SB,CS,1RHR,2RHR,3RHR,4RHR,H,PA,AB,TB,G_list,G,R,RBI,Total Diff,Total Plays,RE24,WPA,WAR,0 Diffs,500 Diffs,Last Team,Last Session,nH,nTB,nBB,nFO,nSH,nPA,nAB,SF value,nSF,lgnH,lgnBB,lgnPA,lgnAB,lgnTB,lgnOBP,lgnSLG,BA,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,K%,BB%,GB%,FB%,GB/FB,nOBP,nSLG,Avg Diff,Name,Batting Type,Pitching Type,Handedness,Position,OPS+
1,2.0,S2,HVR,HVR,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,{2002},1,0,0,736.0,2,-0.39983579638752054,0.0,-0.029733579638752047,0,0,HVR,2,0,0,0,0,0,2,2.0,0.008333333333333333,0.0,20,8,118,109.84166666666667,32,0.23728813559322035,0.29132842728169334,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,1.0,0.0,inf,0.0,0.0,368.0,Thomas Nova,BP,,Left,C,-100.0
1,3.0,S3,LAN,LAN,8,1,3,2,3,0,4,7,0,0,2,2,0,0,0,4,0,0,0,0,5,2,1,0,14,32,29,43,"{3010, 3045, 3014, 3051, 3020, 3021, 3028, 3029, 3033, 3037, 3006}",11,10,15,6602.0,32,11.1413822096997,0.0,1.2296702123125078,1,1,LAN,13,14,43,3,4,0,32,28.72239263803681,0.06940184049079755,0.2776073619631902,758,272,2583,2283.239263803681,1591,0.3987611304684475,0.696817028868683,0.4827586206896552,0.53125,1.4827586206896552,2.0140086206896552,1.0,0.42857142857142855,,0.25,0.21875,0.09375,0.5,0.5,1.0,0.53125,1.497089763443157,206.3125,Thomas Nova,BP,FP-H,Left,C,248.07201823741192
1,4.0,S4,FWG,FWG,0,1,0,3,3,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,11,8,6,"{4032, 4062, 4037, 4046}",4,3,2,2211.0,11,2.0736911065811734,0.11958999999999999,0.2485315419741454,0,0,FWG,8,2,3,2,3,0,11,8.781271596406357,0.07290946786454734,0.21872840359364204,1232,550,5713,5086.236351071182,2553,0.3119201820409592,0.5019428559316415,0.5,0.6363636363636364,0.75,1.3863636363636362,0.25,0.6666666666666666,,0.0,0.18181818181818182,0.2727272727272727,0.5,0.5,1.0,0.36363636363636365,0.3416361704639358,201.0,Thomas Nova,BP,FP-H,Left,C,84.64270263413245
1,5.0,S5,TAC,TAC,0,1,1,0,0,0,2,2,0,0,1,3,0,0,0,4,1,0,0,0,0,0,0,0,2,10,10,5,"{5009, 5033, 5021, 5055}",4,1,2,2937.0,10,-1.2769267770344852,-0.1594,-0.08617873498739852,0,0,TAC,5,2,5,0,2,0,10,9.883341221012778,0.05832938949361098,0.11665877898722196,1923,802,8301,7414.955276857549,4015,0.3282737019636188,0.5414732591214702,0.2,0.2,0.5,0.7,0.3,0.25,,0.0,0.2,0.0,0.6666666666666666,0.3333333333333333,2.0,0.2,0.5059017884933081,293.7,Thomas Nova,BP,EG-H,Left,P,54.3553842451938
1,6.0,S6,LMN,LMN,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,{6133},1,0,0,588.0,2,-0.40698146439282357,-0.042800000000000005,-0.03228750110337356,0,0,LMN,10,0,0,0,0,0,2,2.0,0.044018643190056966,0.0,2092,842,9438,8528.795960642154,4352,0.3108709472345836,0.5102713231836218,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,,0.0,0.0,294.0,Thomas Nova,WC,FP-H,Left,P,-100.0
1,6.0,S6,SAR,SAR,0,0,0,0,0,0,4,2,0,2,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,11,11,0,"{6017, 6044, 6062, 6007}",4,0,0,3580.0,11,-2.4090737007173852,-0.34750000000000003,-0.19464882072424014,0,0,LMN,5,0,0,0,2,0,11,10.911962713619886,0.044018643190056966,0.08803728638011393,2092,842,9438,8528.795960642154,4352,0.3108709472345836,0.5102713231836218,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.18181818181818182,0.0,0.3333333333333333,0.4444444444444444,0.75,0.0,0.0,325.45454545454544,Thomas Nova,WC,FP-H,Left,P,-100.0
2,3.0,S3,LAN,LAN,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,2,"{3003, 3014}",2,1,0,718.0,4,0.45631875111445386,0.0,0.06007337402926262,0,0,LAN,4,2,2,1,0,0,4,3.0,0.06940184049079755,0.0,758,272,2583,2283.239263803681,1591,0.3987611304684475,0.696817028868683,0.6666666666666666,0.75,0.6666666666666666,1.4166666666666665,0.0,1.0,,0.0,0.25,0.25,,,,0.75,0.6666666666666666,179.5,Rub A. Chikin,1B,SF-S,Left,P,183.75565495710262
2,4.0,S4,VFQ,VFQ,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,{4014},1,0,2,463.0,2,1.6907277842113098,0.0799,0.17655685684222697,0,0,VFQ,2,1,1,0,0,0,2,2.0,0.07290946786454734,0.0,1232,550,5713,5086.236351071182,2553,0.3119201820409592,0.5019428559316415,0.5,0.5,1.0,1.5,0.5,1.0,,0.0,0.5,0.0,,,,0.5,0.5,231.5,Rub A. Chikin,S,BS-H,Left,P,159.9103514758593
2,5.0,S5,KTY,KTY,2,0,0,1,2,0,3,7,0,3,1,0,0,0,0,1,0,0,0,0,0,1,1,0,3,19,17,9,"{5155, 5035, 5131, 5072, 5105, 5168, 5144}",7,2,5,4576.0,18,0.41971290264194505,-0.2844,0.12084778142468952,0,0,KTY,14,3,9,2,3,0,19,16.825011831519166,0.05832938949361098,0.17498816848083293,1923,802,8301,7414.955276857549,4015,0.3282737019636188,0.5414732591214702,0.17647058823529413,0.2631578947368421,0.5294117647058824,0.7925696594427245,0.3529411764705882,0.125,,0.10526315789473684,0.3684210526315789,0.10526315789473684,0.14285714285714285,0.42857142857142855,0.3333333333333333,0.2631578947368421,0.5349179002144792,254.22222222222223,Vinny Vedecci,BP,,Left,1B,78.95351951608758
2,6.0,S6,SAS,SAS,0,0,1,0,1,0,5,3,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,12,11,2,"{6090, 6160, 6033, 6131, 6142}",5,1,1,3089.0,12,-1.9267647525794331,-0.08549999999999996,-0.14221260324249055,0,0,SAS,12,1,2,1,4,0,12,10.823925427239772,0.044018643190056966,0.17607457276022787,2092,842,9438,8528.795960642154,4352,0.3108709472345836,0.5102713231836218,0.09090909090909091,0.16666666666666666,0.18181818181818182,0.3484848484848485,0.09090909090909091,0.125,,0.0,0.25,0.08333333333333333,0.14285714285714285,0.7142857142857143,0.19999999999999998,0.16666666666666666,0.18477584804554806,257.4166666666667,Vinny Vedecci,BP,BS-H,Left,1B,-10.175890924789465
